Start Time = Sat Jun 18 09:39:02 2022
[7/501][0/1174]	Loss_D: 0.4845	Loss_G: 1.1741	D(x): 0.8626	D(G(z)): 0.2063 / 0.3011
[7/501][50/1174]	Loss_D: 0.3507	Loss_G: 2.5507	D(x): 0.9648	D(G(z)): 0.1231 / 0.0835
[7/501][100/1174]	Loss_D: 0.2307	Loss_G: 4.4724	D(x): 0.9162	D(G(z)): 0.0111 / 0.0108
[7/501][150/1174]	Loss_D: 0.2781	Loss_G: 3.6973	D(x): 0.9621	D(G(z)): 0.0548 / 0.0272
[7/501][200/1174]	Loss_D: 0.2773	Loss_G: 5.7284	D(x): 0.8335	D(G(z)): 0.0020 / 0.0027
[7/501][250/1174]	Loss_D: 0.4242	Loss_G: 2.3647	D(x): 0.8822	D(G(z)): 0.1672 / 0.0873
[7/501][300/1174]	Loss_D: 0.2476	Loss_G: 4.0981	D(x): 0.9146	D(G(z)): 0.0141 / 0.0210
[7/501][350/1174]	Loss_D: 0.3380	Loss_G: 3.8992	D(x): 0.9511	D(G(z)): 0.0989 / 0.0197
[7/501][400/1174]	Loss_D: 4.4973	Loss_G: 7.3117	D(x): 0.9990	D(G(z)): 0.9745 / 0.0009
[7/501][450/1174]	Loss_D: 0.2387	Loss_G: 4.9212	D(x): 0.9800	D(G(z)): 0.0075 / 0.0056
[7/501][500/1174]	Loss_D: 0.2583	Loss_G: 3.7482	D(x): 0.9595	D(G(z)): 0.0389 / 0.0206
[7/501][550/1174]	Loss_D: 0.3746	Loss_G: 4.4596	D(x): 0.8267	D(G(z)): 0.0914 / 0.0107
[7/501][600/1174]	Loss_D: 0.6397	Loss_G: 1.7488	D(x): 0.5682	D(G(z)): 0.0360 / 0.2102
[7/501][650/1174]	Loss_D: 0.5819	Loss_G: 3.3953	D(x): 0.9930	D(G(z)): 0.2488 / 0.0332
[7/501][700/1174]	Loss_D: 0.3469	Loss_G: 4.6603	D(x): 0.9427	D(G(z)): 0.1210 / 0.0076
[7/501][750/1174]	Loss_D: 0.5000	Loss_G: 3.0807	D(x): 0.6406	D(G(z)): 0.0111 / 0.0452
[7/501][800/1174]	Loss_D: 0.4162	Loss_G: 1.5383	D(x): 0.7414	D(G(z)): 0.0551 / 0.2129
[7/501][850/1174]	Loss_D: 0.3265	Loss_G: 2.4091	D(x): 0.8704	D(G(z)): 0.0674 / 0.0933
[7/501][900/1174]	Loss_D: 0.3964	Loss_G: 3.7466	D(x): 0.9349	D(G(z)): 0.1648 / 0.0214
[7/501][950/1174]	Loss_D: 0.2449	Loss_G: 4.8421	D(x): 0.9759	D(G(z)): 0.0102 / 0.0074
[7/501][1000/1174]	Loss_D: 0.6441	Loss_G: 5.1768	D(x): 0.9801	D(G(z)): 0.3357 / 0.0043
[7/501][1050/1174]	Loss_D: 0.5744	Loss_G: 2.3517	D(x): 0.6028	D(G(z)): 0.0156 / 0.1013
[7/501][1100/1174]	Loss_D: 0.2356	Loss_G: 4.3127	D(x): 0.9370	D(G(z)): 0.0221 / 0.0120
[7/501][1150/1174]	Loss_D: 0.2174	Loss_G: 6.1253	D(x): 0.9235	D(G(z)): 0.0023 / 0.0021
[8/501][0/1174]	Loss_D: 0.5699	Loss_G: 0.5671	D(x): 0.6459	D(G(z)): 0.0813 / 0.5851
[8/501][50/1174]	Loss_D: 0.3630	Loss_G: 2.6079	D(x): 0.9516	D(G(z)): 0.1301 / 0.0776
[8/501][100/1174]	Loss_D: 0.6499	Loss_G: 3.3436	D(x): 0.8795	D(G(z)): 0.3208 / 0.0352
[8/501][150/1174]	Loss_D: 0.2409	Loss_G: 5.0671	D(x): 0.9662	D(G(z)): 0.0100 / 0.0090
[8/501][200/1174]	Loss_D: 0.2484	Loss_G: 3.5464	D(x): 0.8994	D(G(z)): 0.0217 / 0.0401
[8/501][250/1174]	Loss_D: 0.2704	Loss_G: 3.6090	D(x): 0.9194	D(G(z)): 0.0518 / 0.0277
[8/501][300/1174]	Loss_D: 0.3188	Loss_G: 3.4303	D(x): 0.8985	D(G(z)): 0.0840 / 0.0334
[8/501][350/1174]	Loss_D: 0.3559	Loss_G: 3.8170	D(x): 0.8445	D(G(z)): 0.0752 / 0.0230
[8/501][400/1174]	Loss_D: 1.8934	Loss_G: 6.6911	D(x): 0.9999	D(G(z)): 0.7319 / 0.0010
[8/501][450/1174]	Loss_D: 0.6805	Loss_G: 4.6304	D(x): 0.9318	D(G(z)): 0.3685 / 0.0079
[8/501][500/1174]	Loss_D: 0.2792	Loss_G: 3.9208	D(x): 0.8996	D(G(z)): 0.0317 / 0.0176
[8/501][550/1174]	Loss_D: 0.2678	Loss_G: 3.0825	D(x): 0.9513	D(G(z)): 0.0530 / 0.0404
[8/501][600/1174]	Loss_D: 0.5947	Loss_G: 2.1727	D(x): 0.5843	D(G(z)): 0.0112 / 0.1039
[8/501][650/1174]	Loss_D: 0.8573	Loss_G: 3.2965	D(x): 0.9968	D(G(z)): 0.4050 / 0.0350
[8/501][700/1174]	Loss_D: 0.4144	Loss_G: 2.2467	D(x): 0.7309	D(G(z)): 0.0384 / 0.1082
[8/501][750/1174]	Loss_D: 0.3925	Loss_G: 3.8351	D(x): 0.7166	D(G(z)): 0.0066 / 0.0192
[8/501][800/1174]	Loss_D: 1.0247	Loss_G: 0.7311	D(x): 0.3601	D(G(z)): 0.0028 / 0.5022
[8/501][850/1174]	Loss_D: 0.2583	Loss_G: 2.9119	D(x): 0.9335	D(G(z)): 0.0447 / 0.0588
[8/501][900/1174]	Loss_D: 0.2365	Loss_G: 4.2950	D(x): 0.9000	D(G(z)): 0.0098 / 0.0118
[8/501][950/1174]	Loss_D: 0.2461	Loss_G: 4.1711	D(x): 0.9644	D(G(z)): 0.0252 / 0.0144
